Individual,#,,PetalLength,PetalWidth,StyleMidWidth,StyleBasalWidth,PistiltLength,PistilWidth,CanalLength,
IT62,126,Dried,41.60,8.31,2.93,3.58,22.57,5.98,4.63,
IT62,127,Dried,37.89,6.07,2.24,2.89,20.11,5.33,4.76,
IT64,128,Dried,56.18,7.58,1.97,2.72,18.90,4.97,4.61,
IT65,129,Dried,48.07,10.82,2.20,3.38,19.33,5.32,5.91,
IT65,130,Dried,47.39,12.02,1.90,3.50,19.04,6.31,6.11,
IT65,131,Dried,42.19,10.38,2.72,3.41,20.70,5.24,5.82,
IT65,132,Dried,46.53,15.66,2.57,3.69,21.33,7.06,4.90,
IT65,133,Dried,43.42,12.31,2.19,2.80,24.20,6.10,5.23,
IT66,134,Dried,44.28,8.26,2.97,4.03,21.64,6.51,5.20,
IT66,135,Dried,46.84,9.95,3.50,4.60,21.33,5.95,5.65,
IT66,136,Dried,41.67,7.04,2.84,4.23,20.80,5.86,4.94,
IT66,137,Dried,46.04,11.29,2.46,3.87,21.11,5.03,5.01,
IT67,138,Dried,43.12,7.74,1.32,1.56,17.15,4.43,4.98,
IT67,139,Dried,35.56,8.56,2.16,3.11,16.73,5.96,2.93,
IT67,140,Dried,41.98,7.45,1.63,2.20,17.48,4.16,5.22,
IT67,141,Dried,42.43,7.31,1.70,2.29,17.95,4.02,4.41,
IT67,142,Dried,40.82,6.17,1.45,1.99,18.84,3.88,4.51,
IT68,143,Dried,47.81,7.62,1.87,2.78,20.34,4.93,3.96,
IT68,144,Dried,43.05,7.46,2.01,2.73,21.07,5.10,4.81,
IT68,145,Dried,43.15,6.00,2.94,3.37,22.64,5.25,5.16,
IT68,146,Dried,45.89,7.33,1.67,2.36,20.34,4.55,4.70,
IT68,147,Dried,43.99,4.83,1.96,2.42,19.51,4.32,4.56,
IT69,148,Dried,47.74,10.68,2.06,2.60,19.63,4.47,4.70,
IT69,149,Dried,46.46,10.79,1.81,2.95,18.45,5.25,4.81,
IT69,150,Dried,44.43,9.69,1.66,2.89,17.62,4.75,4.22,
